epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7271,2.47362,4.45569,2.43251,0.12865,0.21766,0.05282,0.01657,2.70985,5.43252,2.771,0.00011535,0.00011535,0.00011535
2,21.5806,2.11879,3.50078,2.12079,0.08684,0.18381,0.0667,0.02248,2.68201,4.29584,2.7509,0.00023249,0.00023249,0.00023249
3,36.7748,2.14726,3.26008,2.10897,0.19345,0.24798,0.1641,0.05214,2.58962,3.83841,2.82633,0.000343539,0.000343539,0.000343539
4,46.9896,2.05196,3.16015,2.03381,0.40848,0.116,0.1219,0.03122,2.6798,8.65285,2.74561,0.000448498,0.000448498,0.000448498
5,56.3733,2.15936,2.9519,2.04933,0.26463,0.26927,0.05968,0.01434,2.77653,7.49331,2.85678,0.000547367,0.000547367,0.000547367
6,66.1004,2.03477,3.02516,2.11392,0.32247,0.12997,0.08942,0.02661,2.66521,4.85431,3.44508,0.000640144,0.000640144,0.000640144
7,75.9196,2.0972,2.9172,2.06691,0.23874,0.07333,0.04711,0.01573,2.6414,7.80416,2.81474,0.000654804,0.000654804,0.000654804
8,85.5825,2.04519,2.7286,1.95942,0.3228,0.37837,0.14599,0.03359,2.70615,8.32121,2.86768,0.000635771,0.000635771,0.000635771
9,95.2822,2.01678,2.54954,1.98007,0.32387,0.25189,0.20163,0.04811,2.70321,11.928,2.86815,0.000616738,0.000616738,0.000616738
10,104.905,2.05831,2.62665,2.06529,0.17523,0.20343,0.10172,0.02685,2.61815,5.2478,2.78556,0.000597705,0.000597705,0.000597705
11,114.716,2.01834,2.58887,1.98977,0.23469,0.29512,0.20233,0.05408,2.50387,3.77444,2.624,0.000578672,0.000578672,0.000578672
12,124.891,1.91925,2.44993,1.95085,0.20557,0.40393,0.28024,0.0705,2.49079,3.78544,2.67186,0.00055964,0.00055964,0.00055964
13,135.108,1.97913,2.44527,1.98312,0.23846,0.48655,0.20668,0.05982,2.6148,2.91576,2.63262,0.000540607,0.000540607,0.000540607
14,144.929,1.93233,2.28791,1.90036,0.56163,0.19934,0.31501,0.09609,2.54741,2.97746,2.66276,0.000521574,0.000521574,0.000521574
15,155.198,1.8778,2.28575,1.88476,0.23866,0.46552,0.36163,0.09838,2.58979,2.75567,2.73508,0.000502541,0.000502541,0.000502541
16,168.468,1.80378,2.1136,1.84818,0.37779,0.41269,0.3645,0.14405,2.54158,2.52864,2.64155,0.000483509,0.000483509,0.000483509
17,179.035,1.85149,2.15456,1.85734,0.43111,0.49812,0.45819,0.15041,2.50153,2.49386,2.55282,0.000464476,0.000464476,0.000464476
18,189.678,1.84692,2.15083,1.84871,0.24514,0.3638,0.24781,0.08685,2.57138,2.58763,2.52905,0.000445443,0.000445443,0.000445443
19,199.866,1.81047,1.92355,1.78548,0.64282,0.32533,0.35336,0.10985,2.5014,2.57015,2.4956,0.000426411,0.000426411,0.000426411
20,209.64,1.79155,1.99754,1.82485,0.44835,0.47794,0.46037,0.14042,2.60559,2.32404,2.63484,0.000407378,0.000407378,0.000407378
21,219.611,1.74567,1.82311,1.78481,0.4641,0.46717,0.35516,0.11262,2.52389,2.45739,2.62598,0.000388345,0.000388345,0.000388345
22,229.566,1.73121,1.89286,1.79235,0.25841,0.53766,0.40034,0.13503,2.37558,2.32868,2.38518,0.000369312,0.000369312,0.000369312
23,239.917,1.6647,1.77075,1.69929,0.52082,0.40493,0.47911,0.15694,2.41433,2.21503,2.48894,0.00035028,0.00035028,0.00035028
24,250.359,1.70321,1.73112,1.73889,0.39148,0.32154,0.29517,0.12525,2.46545,2.56992,2.50424,0.000331247,0.000331247,0.000331247
25,260.442,1.68821,1.8091,1.76666,0.38202,0.33444,0.34231,0.13851,2.54901,2.49703,2.60211,0.000312214,0.000312214,0.000312214
26,270.873,1.60079,1.71248,1.68598,0.48566,0.4321,0.46926,0.15946,2.51461,2.32549,2.59203,0.000293181,0.000293181,0.000293181
27,281.031,1.53981,1.5991,1.68039,0.5613,0.5205,0.48433,0.16788,2.59844,2.42126,2.6909,0.000274148,0.000274148,0.000274148
28,291.466,1.54788,1.57203,1.68265,0.55272,0.50153,0.50919,0.1885,2.53873,2.14,2.59072,0.000255116,0.000255116,0.000255116
29,301.712,1.50772,1.48471,1.61876,0.38057,0.42386,0.46514,0.20564,2.55916,2.34123,2.57644,0.000236083,0.000236083,0.000236083
30,312.23,1.47699,1.49176,1.59957,0.40021,0.53011,0.47812,0.20643,2.55549,2.43389,2.57189,0.00021705,0.00021705,0.00021705
31,330.158,1.61269,1.52672,1.7331,0.4467,0.5034,0.49568,0.21228,2.51713,2.3124,2.54079,0.000198018,0.000198018,0.000198018
32,340.78,1.51633,1.39564,1.68271,0.42435,0.5292,0.5322,0.20661,2.52755,2.12569,2.55153,0.000178985,0.000178985,0.000178985
33,351.117,1.46056,1.28788,1.60677,0.45883,0.52767,0.51275,0.21486,2.51136,2.0524,2.54833,0.000159952,0.000159952,0.000159952
34,367.168,1.4231,1.38262,1.62549,0.60657,0.51561,0.56737,0.20497,2.55013,2.08322,2.63674,0.000140919,0.000140919,0.000140919
35,377.237,1.44573,1.23475,1.56798,0.64994,0.49275,0.53755,0.20119,2.58462,2.06517,2.74404,0.000121887,0.000121887,0.000121887
36,387.476,1.40705,1.14061,1.62084,0.67361,0.53567,0.58577,0.21998,2.57005,2.03647,2.74298,0.000102854,0.000102854,0.000102854
37,403.475,1.2615,1.06972,1.49927,0.65856,0.51085,0.58327,0.22567,2.60776,2.02811,2.79174,8.3821e-05,8.3821e-05,8.3821e-05
38,418.546,1.31032,1.09011,1.6001,0.61636,0.4912,0.55569,0.22112,2.626,2.0297,2.8356,6.47882e-05,6.47882e-05,6.47882e-05
39,429.611,1.32998,1.10432,1.59176,0.58246,0.51753,0.56068,0.21691,2.66772,2.0399,2.87983,4.57555e-05,4.57555e-05,4.57555e-05
40,439.769,1.23613,1.0125,1.456,0.62559,0.50574,0.55381,0.21556,2.67882,2.05208,2.87536,2.67228e-05,2.67228e-05,2.67228e-05
